actor,imdb_mean
Alex MacNicoll,6.949999999999999
Alex Mallari Jr.,7.5
Alex Marty,7.5
Alex McArthur,6.6
Alex Medina,6.8
Alex Moffat,6.15
Alex Moore,5.3
Alex Morgan,4.9
Alex Murphy,7.1
Alex Neustaedter,6.4750000000000005
Alex Norton,6.5
Alex Ozerov,5.45
Alex Papps,6.5
Alex Pettyfer,5.966666666666666
Alex Price,7.7
Alex Reid,8.0
Alex Rennie,6.7
Alex Rich,8.0
Alex Russell,5.9
Alex Saxon,6.35
Alex Shaffer,6.2
Alex Sharp,7.3
Alex Sirvent,3.4
Alex Sparrow,4.8
Alex Starke,7.9
Alex Trebek,8.0
Alex Veadov,6.5
Alex Vincent,5.9
Alex Wagner,5.9
Alex Wolff,5.1
Alex Zahara,5.175
Alex Zaichkowski,6.8
Alexa Adeosun,6.0
Alexa Alemanni,8.6
Alexa Chung,7.3
Alexa Davalos,6.5
Alexa Ilacad,7.1
Alexa Kahn,5.9
Alexa Mansour,4.1
Alexa Martin,6.7
Alexa Nisenson,6.1
Alexa Pano,7.4
Alexa PenaVega,5.5
Alexa Torrington,6.5
Alexander Armstrong,7.4
Alexander Arnold,6.6000000000000005
Alexander Bello,7.5
Alexander Brouwer,5.6
Alexander Calvert,8.4
Alexander Chan,6.9
Alexander Conti,5.45
Alexander Crowther,5.9
Alexander Doré,6.9
Alexander Dreymon,8.4
Alexander Dyachenko,7.8
Alexander Eling,5.0
Alexander Gil,7.3
Alexander Gould,7.9
Alexander Holtmann,8.25
Alexander Ludwig,5.6000000000000005
Alexander Martin,6.5
Alexander Nevsky,2.5
Alexander Oblasov,7.8
Alexander Peleg,6.0
Alexander Petrov,6.766666666666667
Alexander Siddig,7.459999999999999
Alexander Skarsgård,5.775
